company,avg_salary($),salary_type
Communications_Test_Design_Incorporated,N/A,year
Commvault%2C_Inc,N/A,year
Commvault_Systems_Inc,108,year
Comnet_Communications%2C_Llc.,N/A,hour
CompQsoft,N/A,year
Company_Confidential,100,year
Competitive_Edge,N/A,year
Complete_Healthcare_Solutions,N/A,hour
CompleteRx,N/A,year
Compli,N/A,year
Comporium_Communications,N/A,year
Comptia,N/A,year
Compucom_Systems_Incorporated,19,hour
Compucon_USA,16,hour
Compunetix%2C_Inc.,N/A,year
Compusearch_Software_Systems%2C_Inc.,78,year
Compusystems%2C_Inc.,N/A,year
Computacenter_plc,96,year
Computech,N/A,year
Computer_Aid%2C_Inc.,74,year
Computer_Aided_Technology,63,year
Computer_Associates,88,year
Computer_Generated_Solutions,N/A,hour
Computer_Information_Concepts,N/A,year
Computer_Pundits_Corporation,N/A,year
Computer_RX,N/A,year
Computer_Sciences_Corporation_(CSC),83,year
Computer_Services%2C_Inc.,67,year
Computer_Systems%2C_Inc.,N/A,year
Computer_Techniques%2C_Inc.,N/A,hour
Computershare_Ltd,73,year
Compuware_Corporation,N/A,year
Comscore%2C_Inc.,87,year
Comtech_EF_Data,N/A,year
Comtech_LLC,77,year
Comtech_Systems,N/A,year
Comtel,N/A,year
Concentric_Sky,N/A,hour
Concentrix_Corporation,14,hour
Concert_Technologies,N/A,year
Concur,96,year
Concur_Technologies%2C_Inc.,100,year
Concurrent_Computer_Corporation,80,year
Conduent_Inc.,81,year
Configura,N/A,year
Confluence,25,hour
ConnectWise,68,year
Connecting_Point,N/A,year
Connectria,N/A,hour
Connecture%2C_Inc.,N/A,year
Connex,N/A,year
Connexion_Technologies%2C_LLC,N/A,year
Consolidated_Communications%2C_Inc,79,year
Constant_Contact,97,year
Constellation,84,year
Constellation_Homebuilder_Systems,N/A,year
Consumer_Cellular,18,hour
Contactually,81,year
ContextMedia%2C_Inc.,76,year
Continental_Mapping_Consultants,N/A,year
Continental_Resources%2C_Inc.,69,year
Contingent_Network_Services,N/A,hour
Continuant,49,year
Continuum_Management_Services,N/A,year
Continuum_Solutions,N/A,hour
Continuum_Technologies,N/A,hour
Contractors_Register,N/A,year
Control_Group,N/A,hour
Convention_Data_Services,N/A,year
Converge,77,year
Convergent_Computing,N/A,year
